source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
pushup_cdc_01.webm,510,pushup_cdc,176.048,171.189,173.107,1.0,9.131,0.0,0.2625,3.952,13.627,13.627,0,5.228,8.793,6.329,8.793,0,top,0,0,1,1,1
pushup_cdc_01.webm,525,pushup_cdc,171.93,162.449,166.42,1.0,17.503,0.0,0.3297,8.07,12.973,12.973,0,8.224,17.449,13.352,17.449,0,top,0,0,1,1,1
pushup_cdc_01.webm,540,pushup_cdc,175.177,171.737,169.244,1.0,26.327,0.0,0.7976,4.823,12.126,12.126,0,6.484,18.543,5.639,18.543,0,top,0,0,0,1,1
pushup_cdc_01.webm,555,pushup_cdc,177.32,166.725,168.1,1.0,33.142,0.0,0.5499,2.68,9.337,9.337,0,4.278,10.008,2.283,10.008,0,top,0,0,1,0,1
pushup_cdc_01.webm,570,pushup_cdc,179.902,168.761,168.712,1.0,29.465,0.0,0.4695,0.098,7.009,7.009,0,5.155,4.066,1.221,5.155,0,top,0,0,1,0,1
pushup_cdc_01.webm,585,pushup_cdc,179.938,170.45,170.42,1.0,25.212,0.0,0.4198,0.062,5.847,5.847,0,0.073,3.371,3.409,3.409,0,top,0,0,1,0,1
pushup_cdc_01.webm,600,pushup_cdc,173.254,178.442,175.126,1.0,35.544,0.0,0.6147,6.746,7.849,7.849,0,13.346,15.956,9.395,15.956,0,top,0,0,1,0,1
pushup_cdc_01.webm,615,pushup_cdc,163.6,169.905,176.974,0.9929,58.633,23.089,0.2286,16.4,21.145,21.145,0,19.274,17.045,3.69,19.274,0,top,0,1,1,1,1
pushup_cdc_01.webm,630,pushup_cdc,161.072,167.071,175.091,0.9931,22.864,-12.68,0.1887,18.928,19.508,19.508,0,5.047,5.657,3.759,5.657,0,top,0,0,1,1,1
pushup_cdc_01.webm,645,pushup_cdc,172.306,171.31,174.72,1.0,13.617,0.0,0.1166,7.694,16.539,16.539,0,22.43,8.462,0.742,22.43,0,top,0,0,1,1,1
