source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
squat_wikimedia_01.webm,90,squat_wikimedia,149.494,145.855,165.002,0.8749,171.0,-3.068,1.1255,30.506,61.17,61.17,0,148.846,154.69,17.321,154.69,0,ascending,1,0,0,1,1
squat_wikimedia_01.webm,93,squat_wikimedia,164.609,161.291,168.974,0.8804,179.486,5.419,1.0798,15.391,38.336,38.336,0,151.153,154.367,39.717,154.367,0,top,1,1,0,1,1
squat_wikimedia_01.webm,96,squat_wikimedia,169.146,166.377,171.473,1.0,178.898,0.0,1.0556,10.854,30.23,30.23,0,45.371,50.854,24.987,50.854,0,top,0,0,0,1,1
squat_wikimedia_01.webm,99,squat_wikimedia,171.946,170.166,173.899,1.0,175.584,0.0,0.8697,8.054,14.286,14.286,0,27.998,37.888,24.265,37.888,0,top,0,0,0,1,1
squat_wikimedia_01.webm,102,squat_wikimedia,174.105,174.448,177.222,1.0,179.565,0.0,0.7463,5.895,5.0,5.895,0,21.59,42.828,33.225,42.828,0,top,0,0,1,0,1
squat_wikimedia_01.webm,105,squat_wikimedia,176.36,178.754,179.501,1.0,176.63,0.0,0.6472,3.64,2.15,3.64,0,22.55,43.053,22.789,43.053,0,top,0,0,1,0,1
squat_wikimedia_01.webm,108,squat_wikimedia,178.198,177.814,176.958,1.0,174.109,0.0,0.7381,1.802,0.51,1.802,0,18.374,9.398,25.423,25.423,0,top,0,0,1,0,1
squat_wikimedia_01.webm,111,squat_wikimedia,178.383,177.283,176.524,1.0,150.561,0.0,0.7071,1.617,2.277,2.277,0,1.854,5.308,4.34,5.308,0,top,0,0,1,0,1
squat_wikimedia_01.webm,114,squat_wikimedia,178.358,176.871,176.102,1.0,161.271,0.0,0.7028,1.642,2.804,2.804,0,0.248,4.121,4.222,4.222,0,top,0,0,1,0,1
squat_wikimedia_01.webm,117,squat_wikimedia,176.879,177.636,176.164,1.0,176.97,0.0,0.6962,3.121,2.251,3.121,0,14.789,7.649,0.616,14.789,0,top,0,0,1,0,1
squat_wikimedia_01.webm,120,squat_wikimedia,176.712,177.767,176.212,1.0,179.973,0.0,0.7002,3.288,1.989,3.288,0,1.67,1.313,0.481,1.67,0,top,0,0,1,0,1
squat_wikimedia_01.webm,123,squat_wikimedia,176.422,177.741,176.045,1.0,176.683,0.0,0.7075,3.578,1.389,3.578,0,2.904,0.266,1.672,2.904,0,top,0,0,1,0,1
squat_wikimedia_01.webm,126,squat_wikimedia,176.116,177.86,176.013,1.0,176.204,0.0,0.7086,3.884,0.925,3.884,0,3.058,1.198,0.322,3.058,0,top,0,0,1,0,1
squat_wikimedia_01.webm,129,squat_wikimedia,175.274,178.698,176.412,1.0,174.994,0.0,0.7061,4.726,0.01,4.726,0,8.417,8.38,3.997,8.417,0,top,0,0,1,0,1
squat_wikimedia_01.webm,132,squat_wikimedia,173.296,179.552,177.236,1.0,176.803,0.0,0.8337,6.704,8.6,8.6,0,19.785,8.537,8.234,19.785,0,top,0,0,0,0,0
squat_wikimedia_01.webm,135,squat_wikimedia,171.747,177.206,178.575,1.0,174.536,0.0,0.9804,8.253,20.548,20.548,0,15.493,23.463,13.39,23.463,0,top,0,0,0,1,1
squat_wikimedia_01.webm,138,squat_wikimedia,167.986,172.187,178.708,1.0,169.085,0.0,1.1741,12.014,38.203,38.203,0,37.605,50.189,1.334,50.189,0,top,0,0,0,1,1
squat_wikimedia_01.webm,141,squat_wikimedia,164.142,167.419,176.35,0.995,166.868,-2.217,1.2114,15.858,50.68,50.68,0,38.445,47.682,23.577,47.682,0,top,0,0,0,1,1
squat_wikimedia_01.webm,144,squat_wikimedia,155.915,156.619,173.204,0.9689,179.802,10.717,1.1772,24.085,67.086,67.086,0,82.263,107.993,31.467,107.993,0,descending,0,1,0,1,1
squat_wikimedia_01.webm,147,squat_wikimedia,148.227,146.546,170.6,0.9605,171.239,2.154,1.1884,31.773,79.615,79.615,0,76.885,100.738,26.032,100.738,0,descending,0,0,0,1,1
squat_wikimedia_01.webm,150,squat_wikimedia,137.38,134.642,169.213,0.9663,158.926,-10.159,1.2579,42.62,96.274,96.274,0,108.47,119.036,13.877,119.036,0,descending,0,0,0,1,1
squat_wikimedia_01.webm,153,squat_wikimedia,145.671,138.474,166.669,0.9566,156.565,-12.52,1.3995,34.329,114.3,114.3,0,82.907,38.319,25.435,82.907,0,descending,0,0,0,1,1
squat_wikimedia_01.webm,156,squat_wikimedia,134.434,125.246,164.07,0.9373,157.956,-11.129,1.4222,45.566,123.107,123.107,0,112.37,132.279,25.987,132.279,0,descending,0,0,0,1,1
